mr,seed,step,train_acc,eval_acc,source
3,4,500,0.279,0.2415,jsonl
3,4,1000,0.48,0.4345,jsonl
3,4,1500,0.714,0.6755,jsonl
3,4,2000,0.994,0.9955,jsonl
3,4,2500,1.0,1.0,jsonl
3,4,3000,1.0,1.0,jsonl
3,4,3500,1.0,1.0,jsonl
3,4,4000,1.0,1.0,jsonl
3,4,4500,1.0,1.0,jsonl
3,4,5000,1.0,1.0,jsonl
3,4,5500,1.0,1.0,jsonl
3,4,6000,1.0,1.0,jsonl
3,4,6500,1.0,1.0,jsonl
3,4,7000,1.0,1.0,jsonl
3,4,7500,1.0,1.0,jsonl
3,4,8000,1.0,1.0,jsonl
3,4,8500,1.0,1.0,jsonl
3,4,9000,1.0,1.0,jsonl
3,4,9500,1.0,1.0,jsonl
3,4,10000,1.0,1.0,jsonl
3,4,10500,1.0,1.0,jsonl
3,4,11000,1.0,1.0,jsonl
3,4,11500,1.0,1.0,jsonl
3,4,12000,1.0,1.0,jsonl
3,4,12500,1.0,1.0,jsonl
3,4,13000,1.0,1.0,jsonl
3,4,13500,1.0,1.0,jsonl
3,4,14000,1.0,1.0,jsonl
3,4,14500,1.0,1.0,jsonl
3,4,15000,1.0,1.0,jsonl
3,4,15500,1.0,1.0,jsonl
3,4,16000,1.0,1.0,jsonl
3,4,16500,1.0,1.0,jsonl
3,4,17000,1.0,1.0,jsonl
3,4,17500,1.0,1.0,jsonl
3,4,18000,1.0,1.0,jsonl
3,4,18500,1.0,1.0,jsonl
3,4,19000,1.0,1.0,jsonl
3,4,19500,1.0,1.0,jsonl
3,4,20000,1.0,1.0,jsonl
3,4,20500,1.0,1.0,jsonl
3,4,21000,1.0,1.0,jsonl
3,4,21500,1.0,1.0,jsonl
3,4,22000,1.0,1.0,jsonl
3,4,22500,1.0,1.0,jsonl
3,4,23000,1.0,1.0,jsonl
3,4,23500,1.0,1.0,jsonl
3,4,24000,1.0,1.0,jsonl
3,4,24500,1.0,1.0,jsonl
3,4,25000,1.0,1.0,jsonl
3,4,25500,1.0,1.0,jsonl
3,4,26000,1.0,1.0,jsonl
3,4,26500,1.0,1.0,jsonl
3,4,27000,1.0,1.0,jsonl
3,4,27500,1.0,1.0,jsonl
3,4,28000,1.0,1.0,jsonl
3,4,28500,1.0,1.0,jsonl
3,4,29000,1.0,1.0,jsonl
3,4,29500,1.0,1.0,jsonl
3,4,30000,1.0,1.0,jsonl
3,4,30500,1.0,1.0,jsonl
3,4,31000,1.0,1.0,jsonl
3,4,31500,1.0,1.0,jsonl
3,4,32000,1.0,1.0,jsonl
3,4,32500,1.0,1.0,jsonl
3,4,33000,1.0,1.0,jsonl
3,4,33500,1.0,1.0,jsonl
3,4,34000,1.0,1.0,jsonl
3,4,34500,1.0,1.0,jsonl
3,4,35000,1.0,1.0,jsonl
3,4,35500,1.0,1.0,jsonl
3,4,36000,1.0,1.0,jsonl
3,4,36500,1.0,1.0,jsonl
3,4,37000,1.0,1.0,jsonl
3,4,37500,1.0,1.0,jsonl
3,4,38000,1.0,1.0,jsonl
3,4,38500,1.0,1.0,jsonl
3,4,39000,1.0,1.0,jsonl
3,4,39500,1.0,1.0,jsonl
3,4,40000,1.0,1.0,jsonl
3,4,40500,1.0,1.0,jsonl
3,4,41000,1.0,1.0,jsonl
3,4,41500,1.0,1.0,jsonl
3,4,42000,1.0,1.0,jsonl
3,4,42500,1.0,1.0,jsonl
3,4,43000,1.0,1.0,jsonl
3,4,43500,1.0,1.0,jsonl
3,4,44000,1.0,1.0,jsonl
3,4,44500,1.0,1.0,jsonl
3,4,45000,1.0,1.0,jsonl
3,4,45500,1.0,1.0,jsonl
3,4,46000,1.0,1.0,jsonl
3,4,46500,1.0,1.0,jsonl
3,4,47000,1.0,1.0,jsonl
3,4,47500,1.0,1.0,jsonl
3,4,48000,1.0,1.0,jsonl
3,4,48500,1.0,1.0,jsonl
3,4,49000,1.0,1.0,jsonl
3,4,49500,1.0,1.0,jsonl
3,4,50000,1.0,1.0,jsonl
3,4,50500,1.0,1.0,jsonl
3,4,51000,1.0,1.0,jsonl
3,4,51500,1.0,1.0,jsonl
3,4,52000,1.0,1.0,jsonl
3,4,52500,1.0,1.0,jsonl
3,4,53000,1.0,1.0,jsonl
3,4,53500,1.0,1.0,jsonl
3,4,54000,1.0,1.0,jsonl
3,4,54500,1.0,1.0,jsonl
3,4,55000,1.0,1.0,jsonl
3,4,55500,1.0,1.0,jsonl
3,4,56000,1.0,1.0,jsonl
3,4,56500,1.0,1.0,jsonl
3,4,57000,1.0,1.0,jsonl
3,4,57500,1.0,1.0,jsonl
3,4,58000,1.0,1.0,jsonl
3,4,58500,1.0,1.0,jsonl
3,4,59000,1.0,1.0,jsonl
3,4,59500,1.0,1.0,jsonl
3,4,60000,1.0,1.0,jsonl
3,4,60500,1.0,1.0,jsonl
3,4,61000,1.0,1.0,jsonl
3,4,61500,1.0,1.0,jsonl
3,4,62000,1.0,1.0,jsonl
3,4,62500,1.0,1.0,jsonl
3,4,63000,1.0,1.0,jsonl
3,4,63500,1.0,1.0,jsonl
3,4,64000,1.0,1.0,jsonl
3,4,64500,1.0,1.0,jsonl
3,4,65000,1.0,1.0,jsonl
3,4,65500,1.0,1.0,jsonl
3,4,66000,1.0,1.0,jsonl
3,4,66500,1.0,1.0,jsonl
3,4,67000,1.0,1.0,jsonl
3,4,67500,1.0,1.0,jsonl
3,4,68000,1.0,1.0,jsonl
3,4,68500,1.0,1.0,jsonl
3,4,69000,1.0,1.0,jsonl
3,4,69500,1.0,1.0,jsonl
3,4,70000,1.0,1.0,jsonl
3,4,70500,1.0,1.0,jsonl
3,5,500,0.238,0.24,jsonl
3,5,1000,0.488,0.4865,jsonl
3,5,1500,0.952,0.9245,jsonl
3,5,2000,1.0,1.0,jsonl
3,5,2500,1.0,1.0,jsonl
3,5,3000,1.0,1.0,jsonl
3,5,3500,1.0,1.0,jsonl
3,5,4000,1.0,1.0,jsonl
3,5,4500,1.0,1.0,jsonl
3,5,5000,1.0,1.0,jsonl
3,5,5500,1.0,1.0,jsonl
3,5,6000,1.0,1.0,jsonl
3,5,6500,1.0,1.0,jsonl
3,5,7000,1.0,1.0,jsonl
3,5,7500,1.0,1.0,jsonl
3,5,8000,1.0,1.0,jsonl
3,5,8500,1.0,1.0,jsonl
3,5,9000,1.0,1.0,jsonl
3,5,9500,1.0,1.0,jsonl
3,5,10000,1.0,1.0,jsonl
3,5,10500,1.0,1.0,jsonl
3,5,11000,1.0,1.0,jsonl
3,5,11500,1.0,1.0,jsonl
3,5,12000,1.0,1.0,jsonl
3,5,12500,1.0,1.0,jsonl
3,5,13000,1.0,1.0,jsonl
3,5,13500,1.0,1.0,jsonl
3,5,14000,1.0,1.0,jsonl
3,5,14500,1.0,1.0,jsonl
3,5,15000,1.0,1.0,jsonl
3,5,15500,1.0,1.0,jsonl
3,5,16000,1.0,1.0,jsonl
3,5,16500,1.0,1.0,jsonl
3,5,17000,1.0,1.0,jsonl
3,5,17500,1.0,1.0,jsonl
3,5,18000,1.0,1.0,jsonl
3,5,18500,1.0,1.0,jsonl
3,5,19000,1.0,1.0,jsonl
3,5,19500,1.0,1.0,jsonl
3,5,20000,1.0,1.0,jsonl
3,5,20500,1.0,1.0,jsonl
3,5,21000,1.0,1.0,jsonl
3,5,21500,1.0,1.0,jsonl
3,5,22000,1.0,1.0,jsonl
3,5,22500,1.0,1.0,jsonl
3,5,23000,1.0,1.0,jsonl
3,5,23500,1.0,1.0,jsonl
3,5,24000,1.0,1.0,jsonl
3,5,24500,1.0,1.0,jsonl
3,5,25000,1.0,1.0,jsonl
3,5,25500,1.0,1.0,jsonl
3,5,26000,1.0,1.0,jsonl
3,5,26500,1.0,1.0,jsonl
3,5,27000,1.0,1.0,jsonl
3,5,27500,1.0,1.0,jsonl
3,5,28000,1.0,1.0,jsonl
3,5,28500,1.0,1.0,jsonl
3,5,29000,1.0,1.0,jsonl
3,5,29500,1.0,1.0,jsonl
3,5,30000,1.0,1.0,jsonl
3,5,30500,1.0,1.0,jsonl
3,5,31000,1.0,1.0,jsonl
3,5,31500,1.0,1.0,jsonl
3,5,32000,1.0,1.0,jsonl
3,5,32500,1.0,1.0,jsonl
3,5,33000,1.0,1.0,jsonl
3,5,33500,1.0,1.0,jsonl
3,5,34000,1.0,1.0,jsonl
3,5,34500,1.0,1.0,jsonl
3,5,35000,1.0,1.0,jsonl
3,5,35500,1.0,1.0,jsonl
3,5,36000,1.0,1.0,jsonl
3,5,36500,1.0,1.0,jsonl
3,5,37000,1.0,1.0,jsonl
3,5,37500,1.0,1.0,jsonl
3,5,38000,1.0,1.0,jsonl
3,5,38500,1.0,1.0,jsonl
3,5,39000,1.0,1.0,jsonl
3,5,39500,1.0,1.0,jsonl
3,5,40000,1.0,1.0,jsonl
3,5,40500,1.0,1.0,jsonl
3,5,41000,1.0,1.0,jsonl
3,5,41500,1.0,1.0,jsonl
3,5,42000,1.0,1.0,jsonl
3,5,42500,1.0,1.0,jsonl
3,5,43000,1.0,1.0,jsonl
3,5,43500,1.0,1.0,jsonl
3,5,44000,1.0,1.0,jsonl
3,5,44500,1.0,1.0,jsonl
3,5,45000,1.0,1.0,jsonl
3,5,45500,1.0,1.0,jsonl
3,5,46000,1.0,1.0,jsonl
3,5,46500,1.0,1.0,jsonl
3,5,47000,1.0,1.0,jsonl
3,5,47500,1.0,1.0,jsonl
3,5,48000,1.0,1.0,jsonl
3,5,48500,1.0,1.0,jsonl
3,5,49000,1.0,1.0,jsonl
3,5,49500,1.0,1.0,jsonl
3,5,50000,1.0,1.0,jsonl
3,5,50500,1.0,1.0,jsonl
3,5,51000,1.0,1.0,jsonl
3,5,51500,1.0,1.0,jsonl
3,5,52000,1.0,1.0,jsonl
3,5,52500,1.0,1.0,jsonl
3,5,53000,1.0,1.0,jsonl
3,5,53500,1.0,1.0,jsonl
3,5,54000,1.0,1.0,jsonl
3,5,54500,1.0,1.0,jsonl
3,5,55000,1.0,1.0,jsonl
3,5,55500,1.0,1.0,jsonl
3,5,56000,1.0,1.0,jsonl
3,5,56500,1.0,1.0,jsonl
3,5,57000,1.0,1.0,jsonl
3,5,57500,1.0,1.0,jsonl
3,5,58000,1.0,1.0,jsonl
3,5,58500,1.0,1.0,jsonl
3,5,59000,1.0,1.0,jsonl
3,5,59500,1.0,1.0,jsonl
3,5,60000,1.0,1.0,jsonl
3,5,60500,1.0,1.0,jsonl
3,5,61000,1.0,1.0,jsonl
3,5,61500,1.0,1.0,jsonl
3,5,62000,1.0,1.0,jsonl
3,5,62500,1.0,1.0,jsonl
3,5,63000,1.0,1.0,jsonl
3,5,63500,1.0,1.0,jsonl
3,5,64000,1.0,1.0,jsonl
3,5,64500,1.0,1.0,jsonl
3,5,65000,1.0,1.0,jsonl
3,5,65500,1.0,1.0,jsonl
3,5,66000,1.0,1.0,jsonl
3,5,66500,1.0,1.0,jsonl
3,5,67000,1.0,1.0,jsonl
3,5,67500,1.0,1.0,jsonl
3,5,68000,1.0,1.0,jsonl
3,5,68500,1.0,1.0,jsonl
3,5,69000,1.0,1.0,jsonl
3,5,69500,1.0,1.0,jsonl
3,5,70000,1.0,1.0,jsonl
3,5,70500,1.0,1.0,jsonl
3,42,0,0.0,0.0,csv
3,42,250,,0.2645,csv
3,42,500,,0.243,csv
3,42,750,,0.3025,csv
3,42,1000,0.5360666667,0.512,csv
3,42,1250,,0.544,csv
3,42,1500,,0.8275,csv
3,42,1750,,0.981,csv
3,42,2000,1.0,1.0,csv
3,42,2250,,1.0,csv
3,42,2500,,1.0,csv
3,42,2750,,1.0,csv
3,42,3000,1.0,1.0,csv
3,42,3500,1.0,1.0,csv_fill
3,42,4000,1.0,1.0,csv_fill
3,42,4500,1.0,1.0,csv_fill
3,42,5000,1.0,1.0,csv_fill
3,42,5500,1.0,1.0,csv_fill
3,42,6000,1.0,1.0,csv_fill
3,42,6500,1.0,1.0,csv_fill
3,42,7000,1.0,1.0,csv_fill
3,42,7500,1.0,1.0,csv_fill
3,42,8000,1.0,1.0,csv_fill
3,42,8500,1.0,1.0,csv_fill
3,42,9000,1.0,1.0,csv_fill
3,42,9500,1.0,1.0,csv_fill
3,42,10000,1.0,1.0,csv_fill
3,42,10500,1.0,1.0,csv_fill
3,42,11000,1.0,1.0,csv_fill
3,42,11500,1.0,1.0,csv_fill
3,42,12000,1.0,1.0,csv_fill
3,42,12500,1.0,1.0,csv_fill
